iteration,time,result
6792970,3600.006379842758,46144441420900
6792971,3600.006905078888,46144455006841
6792972,3600.0075476169586,46144468592784
6792973,3600.0080687999725,46144482178729
6792974,3600.008583545685,46144495764676
6792975,3600.00909614563,46144509350625
6792976,3600.009615421295,46144522936576
6792977,3600.010134935379,46144536522529
6792978,3600.010650873184,46144550108484
6792979,3600.011166334152,46144563694441
6792980,3600.0116815567017,46144577280400
6792981,3600.0122005939484,46144590866361
6792982,3600.012716770172,46144604452324
6792983,3600.0132303237915,46144618038289
6792984,3600.013798236847,46144631624256
6792985,3600.0143218040466,46144645210225
6792986,3600.014842748642,46144658796196
6792987,3600.0153620243073,46144672382169
6792988,3600.015877008438,46144685968144
6792989,3600.0163900852203,46144699554121
6792990,3600.016906261444,46144713140100
6792991,3600.0175080299377,46144726726081
6792992,3600.0180366039276,46144740312064
6792993,3600.018554210663,46144753898049
6792994,3600.0190682411194,46144767484036
6792995,3600.0195846557617,46144781070025
6792996,3600.0201025009155,46144794656016
6792997,3600.020618915558,46144808242009
6792998,3600.021134853363,46144821828004
6792999,3600.0216977596283,46144835414001
6793000,3600.022228717804,46144849000000
6793001,3600.0227522850037,46144862586001
6793002,3600.023270845413,46144876172004
6793003,3600.0237896442413,46144889758009
6793004,3600.024308204651,46144903344016
6793005,3600.0248260498047,46144916930025
6793006,3600.025342941284,46144930516036
6793007,3600.025860786438,46144944102049
6793008,3600.0263781547546,46144957688064
6793009,3600.0268959999084,46144971274081
6793010,3600.0275182724,46144984860100
6793011,3600.0280423164368,46144998446121
6793012,3600.028561592102,46145012032144
6793013,3600.0290791988373,46145025618169
6793014,3600.029623270035,46145039204196
6793015,3600.0301666259766,46145052790225
6793016,3600.0306856632233,46145066376256
6793017,3600.0312037467957,46145079962289
6793018,3600.031722545624,46145093548324
6793019,3600.0322358608246,46145107134361
6793020,3600.032751560211,46145120720400
6793021,3600.0332701206207,46145134306441
6793022,3600.033788919449,46145147892484
6793023,3600.034306526184,46145161478529
6793024,3600.0348224639893,46145175064576
6793025,3600.0353441238403,46145188650625
6793026,3600.035863876343,46145202236676
6793027,3600.0363817214966,46145215822729
6793028,3600.036901950836,46145229408784
6793029,3600.0375061035156,46145242994841
6793030,3600.03808426857,46145256580900
6793031,3600.038604259491,46145270166961
6793032,3600.0391190052032,46145283753024
6793033,3600.039639234543,46145297339089
6793034,3600.0401544570923,46145310925156
6793035,3600.040672302246,46145324511225
6793036,3600.0411896705627,46145338097296
6793037,3600.041707754135,46145351683369
6793038,3600.042225599289,46145365269444
6793039,3600.04274058342,46145378855521
6793040,3600.0432546138763,46145392441600
6793041,3600.0437707901,46145406027681
6793042,3600.044285774231,46145419613764
6793043,3600.044801712036,46145433199849
6793044,3600.0453169345856,46145446785936
6793045,3600.045877456665,46145460372025
6793046,3600.0463995933533,46145473958116
6793047,3600.0469167232513,46145487544209
6793048,3600.0475754737854,46145501130304
6793049,3600.0480949878693,46145514716401
6793050,3600.0486118793488,46145528302500
6793051,3600.0491256713867,46145541888601
6793052,3600.049641609192,46145555474704
6793053,3600.050157546997,46145569060809
6793054,3600.050671815872,46145582646916
6793055,3600.0511870384216,46145596233025
6793056,3600.051702976227,46145609819136
6793057,3600.052221059799,46145623405249
6793058,3600.05273771286,46145636991364
6793059,3600.053254365921,46145650577481
6793060,3600.0538108348846,46145664163600
6793061,3600.05433511734,46145677749721
6793062,3600.054851293564,46145691335844
6793063,3600.0553686618805,46145704921969
6793064,3600.0558874607086,46145718508096
6793065,3600.056401491165,46145732094225
6793066,3600.0569150447845,46145745680356
6793067,3600.057519197464,46145759266489
6793068,3600.0580427646637,46145772852624
6793069,3600.0586116313934,46145786438761
6793070,3600.0591292381287,46145800024900
6793071,3600.059646129608,46145813611041
6793072,3600.0601654052734,46145827197184
6793073,3600.06067943573,46145840783329
6793074,3600.061195373535,46145854369476
6793075,3600.061761856079,46145867955625
6793076,3600.062289953232,46145881541776
6793077,3600.0628118515015,46145895127929
6793078,3600.0633311271667,46145908714084
6793079,3600.063849210739,46145922300241
6793080,3600.0643661022186,46145935886400
